stop_id,stop_name,stop_lat,stop_lon,location_type,stop_code,zone_id
14478,Oakland / WACC Urgent Care (SB),42.6559886,-83.4323055,0,14478,standard
14477,Pontiac Lake / Oakland (EB),42.6523984,-83.4328044,0,14477,standard
14476,Pontiac Lake / Ashton Pines (EB),42.6518421,-83.4296715,0,14476,standard
14475,Hospital / Pontiac Lake (SB),42.6518342,-83.4254766,0,14475,standard
14474,Hospital / York (SB),42.6501337,-83.425321,0,14474,standard
14473,Hospital / Marco NS (SB),42.6481569,-83.4252513,0,14473,standard
14472,Hospital / Elizabeth Lake (SB),42.6445189,-83.4250581,0,14472,standard
14471,Hospital / Banks (SB),42.6419895,-83.4249187,0,14471,standard
14470,Hospital / Wedworth (SB),42.6391285,-83.4247685,0,14470,standard
14469,Hospital / Eagle Landings (SB),42.6371238,-83.4247094,0,14469,standard
14468,Hospital / Lanore (SB),42.6350756,-83.4245539,0,14468,standard
14467,Hospital / Redmond (SB),42.6327392,-83.4244949,0,14467,standard
14466,Hospital / Pershing (SB),42.6308764,-83.4243608,0,14466,standard
14465,Hospital / Princeton (SB),42.6257848,-83.4240764,0,14465,standard
14464,Campus / Hospital (WB),42.6238941,-83.4241515,0,14464,standard
14463,Oakland CC Highland Lakes Woodland Hall (WB),42.6235902,-83.429752,0,14463,standard
14462,Oakland CC Highland Lakes Redwood Center (SB),42.6214784,-83.4304708,0,14462,standard
14461,Oakland CC Highland Lakes High Oaks Hall (SB),42.6207639,-83.4327507,0,14461,standard
14460,Oakland CC Highland Lakes Highoaks Drive (SB),42.6191889,-83.4315544,0,14460,standard
14459,Oakland CC Highland Lakes Lot A (SB),42.6177243,-83.4301597,0,14459,standard
14458,Cooley Lake / Marylestone (WB),42.6154741,-83.4293765,0,14458,standard
14457,Cooley Lake / Peterson (WB),42.6153873,-83.4320426,0,14457,standard
14456,Cooley Lake / Malcom (WB),42.6152333,-83.4360981,0,14456,standard
14455,Cooley Lake / Tanfield (WB),42.6151702,-83.438952,0,14455,standard
14454,Cooley Lake / Lockin (WB),42.6147714,-83.4421653,0,14454,standard
14453,Union Lake / Cooley Lake (SB),42.6141201,-83.4469557,0,14453,standard
14452,Union Lake / Vandell (SB),42.6119921,-83.4470683,0,14452,standard
14451,Union Lake / Meridian (SB),42.6098326,-83.4469986,0,14451,standard
14450,Union Lake / Flagstaff (SB),42.6079216,-83.4467518,0,14450,standard
14449,Union Lake / Golfside (WB),42.6054461,-83.4467143,0,14449,standard
14448,Union Lake / Wise (SB),42.6019714,-83.4465373,0,14448,standard
14447,Union Lake / Willow (SB),42.5986742,-83.4464032,0,14447,standard
14446,Union Lake / Arby's (SB),42.5972526,-83.4463549,0,14446,standard
14445,Union Lake / Keller Williams (SB),42.5951044,-83.4462744,0,14445,standard
