shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
0104,42.4802629,-82.9268647,296,10059.890445295747
0104,42.4802562,-82.9272411,297,10090.767011184083
0104,42.4802476,-82.927557,298,10116.690788251453
0104,42.4802405,-82.927818,299,10138.109274010878
0104,42.4802113,-82.9285137,300,10195.25415322639
0104,42.4801918,-82.9293252,301,10261.838515616933
0104,42.4801773,-82.9296193,302,10286.010746364873
0104,42.4801599,-82.9302927,303,10341.268476922352
0104,42.4801538,-82.9305296,304,10360.707893566612
0104,42.4801502,-82.9306527,305,10370.810952463147
0104,42.4801464,-82.9307647,306,10380.005509169227
0104,42.4801313,-82.931213,307,10416.807808836871
0104,42.4801173,-82.9316298,308,10451.023988864004
0104,42.4800797,-82.9327647,309,10544.18826133367
0104,42.4800749,-82.9329097,310,10556.091338017432
0104,42.4800731,-82.9329691,311,10560.966700827772
0104,42.4800499,-82.933753,312,10625.30422696251
0104,42.4800448,-82.933925,313,10639.420938813353
0104,42.4800153,-82.9349726,314,10725.394782074194
0104,42.4799818,-82.936024,315,10811.698125169723
0104,42.4799568,-82.9367458,316,10870.956563570777
0104,42.479945,-82.9370858,317,10898.870064524224
0104,42.479939,-82.9373734,318,10922.464940132095
0104,42.4799353,-82.9375397,319,10936.109041528687
0104,42.4799138,-82.9385034,320,11015.176124694142
0104,42.4798923,-82.9392728,321,11078.318234389248
0104,42.4798814,-82.9396603,322,11110.119387287414
0104,42.4798764,-82.9398945,323,11129.333677155977
0104,42.4798603,-82.9406586,324,11192.021473575685
0104,42.4798533,-82.9409471,325,11215.693554279633
0104,42.4798358,-82.9416512,326,11273.46811078303
0104,42.4798228,-82.9421491,327,11314.32544399435
0104,42.4798189,-82.9423028,328,11326.937523985654
0104,42.4798138,-82.9425075,329,11343.734128890228
0104,42.4798067,-82.942787,330,11366.668947504944
0104,42.4797813,-82.9438965,331,11457.700633790993
0104,42.479733,-82.9460102,332,11631.124200110835
0104,42.4797213,-82.9465219,333,11673.107893956347
0104,42.4797096,-82.9470164,334,11713.681757434018
0104,42.4796873,-82.9479145,335,11787.374972692838
0104,42.4796789,-82.9483592,336,11823.855948367767
0104,42.4796711,-82.9485426,337,11838.921228674513
