ID,Lat,Lon,Sequence,Distance
8534,42.3310908,-83.050826,92,1828.7405872495647
8534,42.3311445,-83.0508329,93,1834.7386332070275
8534,42.3312507,-83.0508465,94,1846.60033493398
8534,42.331379,-83.0508387,95,1860.8810451501802
8534,42.3315193,-83.0508133,96,1876.620794004606
8534,42.331547,-83.0508125,97,1879.7015954144022
8534,42.3316689,-83.0507918,98,1893.362643111768
8534,42.3316661,-83.0511872,99,1925.86674617217
8534,42.331665,-83.0513139,100,1936.2824392283749
8534,42.3316698,-83.0515662,101,1957.0288330274366
8534,42.3316795,-83.0520718,102,1998.6040775216754
8534,42.3316791,-83.0521051,103,2001.3417599789361
8534,42.3316774,-83.0522255,104,2011.240666202556
8534,42.3316761,-83.0523236,105,2019.3059621107834
8534,42.3316756,-83.052486,106,2032.6556567165524
8534,42.3316818,-83.0526525,107,2046.3596145838962
8534,42.331675,-83.0528396,108,2061.7581537324522
8534,42.3316745,-83.0531323,109,2085.8186969844814
8534,42.3316744,-83.0531668,110,2088.654682329752
8534,42.3316745,-83.0532822,111,2098.1407814046993
8534,42.3316756,-83.0533576,112,2104.340007012314
8534,42.3316761,-83.0533918,113,2107.1518596489
8534,42.3316722,-83.0539276,114,2151.197741645642
8534,42.3316718,-83.0541993,115,2173.5320272544204
8534,42.3316715,-83.0543167,116,2183.182581580782
8534,42.3316713,-83.0544229,117,2191.9124459433083
8534,42.3316712,-83.054468,118,2195.619765877775
8534,42.3316708,-83.0546477,119,2210.3915046441657
8534,42.3316704,-83.0547956,120,2222.5492391685907
8534,42.3316703,-83.0550068,121,2239.9102728751245
8534,42.3316665,-83.0566709,122,2376.7030237729914
8534,42.3316656,-83.0567915,123,2386.617072342016
8534,42.3316652,-83.0569518,124,2399.7941045636094
8534,42.331665,-83.0570135,125,2404.866007720875
8534,42.3316644,-83.0572677,126,2425.761825685535
8534,42.3316642,-83.057368,127,2434.006701753736
8534,42.331789,-83.057432,128,2448.8475865174246
8534,42.3318419,-83.0574591,129,2455.137491488192
8534,42.3318862,-83.0574818,130,2460.4050056286505
8534,42.3322222,-83.057664,131,2500.656644293316
8534,42.3323206,-83.0577253,132,2512.7027621756642
8534,42.332424,-83.057785,133,2525.2038145813426
8534,42.3325378,-83.0578453,134,2538.7939663949956
